Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_8031,Bring It On,New Cool Collective,2002-09,Netherlands,"['Flutonic', ""Comin' Back for More"", 'The Hun', 'Do Anything', 'ChÃ©vere', 'Machowe', 'Plattonic', 'Big Mondays', 'Donde estÃ¡ JosÃ©', 'Streets of San Francisco', 'Bring It On', ""Stayin' Alive"", ""Klezz of '99"", 'Bongoman', 'Con que', 'Slow Sixteen']",
mbrainz_8045,Sunrise At ES Cavallet (Ibiza),Sin Plomo,2009-08-09,Germany,"['Nature Groove', 'Einsame Nacht', 'Static', 'Wait (The Timewriter remix)', 'Listen (Running mix)', 'Cubos', 'Blueberry (Strykeâ€˜s Deep Blue dub)', 'Desierto', 'Estefania', 'Bambossa', 'Flicking Pages (Daniel Kyo remix)', 'Percy Thang', 'Room Stripes', 'Cigue', 'Sunrise at ES Cavallet (DJ mix by Sin Plomo)']",
mbrainz_8051,VoodooMan,Movetron,1999-01-01,Finland,"['VoodooMan (radio edit)', 'VoodooMan (2468 mix)', 'VoodooMan (Tar Hill mix)', 'VoodooMan (White Label mix)', 'VoodooMan (original version)']",
mbrainz_8053,Broken World,Yendri,2009-04-03,Germany,"['Negotiations', 'Born Dead', 'Throw Yourself Out of the Window', 'Raining Lies', 'Release Me', 'Not', 'This Tristesse', 'Oh No', 'In the Corner', 'In the Hole', 'The Void', 'Machinespirit', 'Undefined World', 'Useless', 'So Soon', 'Flowerchild']",
mbrainz_8055,I'm No Angel,"Allman, Gregg, The, Band",1987-01-01,United States of America,"[""I'm No Angel"", 'Anything Goes', 'Evidence of Love', 'Yours for the Asking', 'Things That Might Have Been', ""Can't Keep Running"", 'Faces Without Names', 'Lead Me On', ""Don't Want You No More"", ""It's Not My Cross to Bear""]",
mbrainz_8057,Let It Die,Feist,2004-09-13,Germany,"['Gatekeeper', 'Mushaboom', 'Let It Die', 'One Evening', 'Leisure Suite', 'Lonely Lonely', 'When I Was a Young Girl', 'Secret Heart', 'Inside and Out', 'Tout doucement', 'Now at Last']",
mbrainz_8061,The California EP,Dressy Bessy,2000-11,United States of America,"['California', 'Some Better Days', 'Super Star Everything', 'Hangout Wonderful', 'In the Morning']",
mbrainz_8066,The Brothel to the Cemetery,"Tiger Lillies, The",1998-01-01,United States of America,"['Russians', 'Tiger Lillie Line', 'Roll Up', 'Sailors', 'Gypsy Lament', 'Decline', 'Alone with the Moon', 'Arthur', 'Terrible', 'Crime', 'Pretty Soon', 'Old Gracefully', 'Mortuary', 'Reap What You Sow', 'Banging in the Nails', 'Nightingale', 'Heaven to Hell', 'Slough', 'Millionaire']",
mbrainz_8067,Sometimes I Wish We Were an Eagle,"Callahan, Bill",2009-04-14,United States of America,"['Jim Cain', 'Eid Ma Clack Shaw', 'The Wind and the Dove', 'Rococo Zephyr', 'Too Many Birds', 'My Friend', 'All Thoughts Are Prey to Some Beast', 'Invocation of Ratiocination', 'Faith/Void']",
mbrainz_8079,Under My Skin Remixes,Blue System,2009-01-01,,"['Under My Skin (radio version)', 'Under My Skin (maxi version)', 'Under My Skin (instrumental version)', 'Under My Skin (multi extended version)', 'Under My Skin (T. Rexx R2D2 mix)', 'Under My Skin (Edgar III Stomp mix)', 'Under My Skin (multi extended instrumental)', ""She's a Lady (multi extended instrumental)""]",
mbrainz_8082,California Man,"Move, The",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['California Man', 'Ella James', 'No Time', 'Tonight', 'Down on the Bay', 'The Minister', 'Do Ya', 'The Words of Aaron', 'Until Your Mamaâ€™s Gone', 'Chinatown', 'Message From the Country']",
mbrainz_8083,Gobs on the Midway: Singles 1991-1995,Strapping Fieldhands,,,"['The Demiurge', 'Circus Coming', ""Can't Find a Place"", 'Poor Mr. Jesus', 'Mysterious Girl', 'The Garden of Earthly Delights', 'Stacey Donnelly', 'Aeroplane Ticket', 'Future Pastoral', 'October Kentucky', 'Eggs in the Reservoir', ""Ol' Jimmy Cole"", 'Just Too Much', 'Looking Into the Sun', 'Sun, Sun', 'Albacore Heart', ""Neptune's World""]",
mbrainz_8084,Songs About Nightmares,"Rottin, Andrea",2008-01-06,Italy,"['Truck Song', 'Austria', 'Gentle Voices', 'Sousedovic pes', 'Locked', 'Country Style', 'Ruski, Cat Song', 'The Moon Drowns', 'Elegy', 'Looking Glass', 'And No Businessmen Out There', 'EXPLODE !']",
mbrainz_8104,Empire of the Fallen Angel,Demoncy,2003-01-01,United States of America,"['Enchanted Woods of Forgotten Lore', 'The Obsidian Age of Ice', 'Empire of the Fallen Angel', 'Night Song (Apocalyptic Dawn)', 'Sepulchral Whispers', 'Shadows of the Moon (The Winter Solstice)', 'My Kingdom Enshrouded in Necromantical Fog', 'Warmarch of the Black Hordes', 'The Ode to Eternal Darkness']",
mbrainz_8110,Puzzle EP,Fcode,2009-04-22,Russian Federation,"['Puzzle (original mix)', 'Puzzle (Mr.Dee remix)', 'Puzzle (Artem Folevski remix)']",
mbrainz_8111,Rock Puzzle,Atoll,1993-01-01,France,"[""L'Ã¢ge d'or (dans 8000 ans)"", ""L'ultime Rock"", 'Kaelka', 'Smarto Kitschy', 'Eau (H20)', 'Garces de femmes', 'La maison de Men-TÃ¤Ã¤', 'Puzzle', ""L'ultime Rock (studio Z Version)"", 'Puzzle (studio Z Version)', ""Atari, That's a Game ! (Smarto Kitschy - American Mix)"", 'Here Comes the Feeling', 'No Reply', 'Eye to Eye']",
mbrainz_8120,Monster / Nosferatu / Silent Snow Remixed,"Stelar, Parov",2009-04-03,Austria,"['Monster (Cash Candy remix)', 'Nosferatu (Cash Candy remix)', 'Silent Snow (Roland Schwarz remix)']",
mbrainz_8137,The Complete Birth of the Cool,"Davis, Miles",1998-05-19,United States of America,"['Move', 'Jeru', 'Moon Dreams', 'Venus de Milo', 'Budo', 'Deception', 'Godchild', 'Boplicity', 'Rocker', 'Israel', 'Rouge', 'Darn That Dream', 'Birth of the Cool Theme (live)', 'Symphony Sid Announces the Band (live)', 'Move (live)', 'Why Do I Love You (live)', 'Godchild (live)', 'Symphony Sid Introduction (live)', 'Sâ€™il Vous Plait (live)', 'Moon Dreams (live)', 'Budo (Hallucination) (live)', 'Darn That Dream (live)', 'Move (live)', 'Moon Dreams (live)', 'Budo (Hallucination) (live)']",
mbrainz_8138,Vol IV: Johnny Pyro and the Dance of Evil,Republic of Loose,2008-05-02,Ireland,"['Got', 'Poquito', 'The Steady Song', '23 Things I Donâ€™t Like', '13 Shots', 'I.R.I.I.S.H.', 'You Do Me', 'The Ritual', 'Awful Cold', 'Drop', 'I Like Music', 'When Iâ€™m Gone', 'The Telephone', 'The Telephone, Part 2 (reprise)', 'My Brain', 'I Like Music']",
mbrainz_8140,Beyond the Circle,Excruciate,2003-01-01,Singapore,"['Confused Mind', 'Endless Suffocation', 'Inhumation Postnatal', 'Eternal Incubation', 'Anatomical Self-Fertilization', 'Passage of Life', 'Sabbath in the Mortuary', 'Beyond the Circle', 'Sickness Hate', 'Hymn of Mortality', 'Sign of Suffer', 'I Pray for Infinity', 'Sabbath in the Mortuary', 'Eternal Incubation', 'Inhumation Postnatal', 'Bubonic Plague', 'Slow Death', 'Beyond the Circle', 'The Mortuary', 'Sabbath']",59.8 minutes
mbrainz_8147,Moroccan Spirit,Moroccan Spirit,,,"['Music For 1001 Nights (Intro)', 'JilÃ¡la I: Nocturnal Ritual', 'Jim I Nim', 'Moroccan Soul', 'Moussem Of Regragas', 'Midunya', 'Narcisse Noir', 'Derviche', 'JilÃ¡la II: Nocturnal Ritual', 'La Mamounia', 'Moussem Mediouna', 'Music For 1001 Nights (Outro)']",
mbrainz_8150,Undertow,"Edsel Auctioneer, The",1992-01-01,United Kingdom of Great Britain and Northern Ireland,"['Undertow', ""Phil's Start""]",
mbrainz_8151,California Gold,"Seaberg, Marc",1979-01-01,Germany,"['California Gold', 'Looking For Freedom', 'Twenty One', 'Backwood Whiskey', 'Shorty']",
mbrainz_8158,Visions,Dan Pinto,2000-01-01,United States of America,"['Surreal Symphony', 'Visions', 'Counterclockwise', 'For My Love', 'Never Ending Goodbye', 'Seconds', ""The Nightingale's Song"", 'Serenity', 'Tajmahal']",
mbrainz_8160,Black Cherry,Rachel Stamp,2002-01-01,United Kingdom of Great Britain and Northern Ireland,"['Black Cherry (album version)', 'Jet Black Supersonic']",
mbrainz_8173,The Amazing New Electronic Pop Sound of Jean Jacques Perrey,"Perrey, Jean-Jacques",1996-04-15,United States of America,"['Mary France', 'The Little Ships', 'Island in Space', 'The Mexican Cactus', 'Porcupine Rock', 'The Little Girl From Mars', 'Mister James Bond', 'FrÃ©re Jean Jacques', 'Brazilian Flower', 'In the Heart of a Rose', 'The Minuet of the Robots', 'Four, Three, Two, One', 'Gypsy in Rio']",
mbrainz_8177,Jupiter and Beyond the Infinite,Stella Interstellar,2009-05-01,United States of America,"['Jupiter', 'Beyond the Infinite']",
mbrainz_8178,Broken Ties... Spoken Lies,Shattered Realm,2002-01-01,Germany,"['Showdown', 'Blackest Dawn', 'This World Is Mine', 'Kings Cannot Fall', 'Last Straw', 'Medusa', 'All Will Suffer', 'No Mercy', ""You've Been Warned"", 'The April Situation']",
mbrainz_8182,Mental Liberation,Oddisee,2009-05-05,United States of America,"[""Hip Hop's Cool Again"", 'Let the Music', 'The Jungle', 'Get Up', 'Q & A', 'Rhymes Get Written', ""What's Crazy"", 'Cold For That', 'Endure (2fish remix)', ""Don't Sleep (remix)"", 'Drugs Outside (remix)', 'When Everything Changed']",
mbrainz_8187,Echoes From the Attic,cecilia::eyes feat.,2005-01-01,Belgium,"[""My Clothes Don't Fit Me No More"", 'Goodbye the Sky', 'Play', 'The Airscrew, Part 1', 'The Airscrew, Part 2', 'One Million Whales']",
mbrainz_8191,Lemonade Girl (album),"Jellys, The",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Lemonade Girl', ""You're the One"", 'So High']",
mbrainz_8197,On Little Known Frequencies,From Monument to Masses,2009-03-10,United States of America,"['Checksum', '(Millions of) Individual Factories', 'Beyond God & Elvis', 'A Sixth Trumpet', 'An Ounce of Prevention', 'The First Five', ""Let Them Know It's Christmastime"", 'Hammer & Nails']",
mbrainz_8203,Elephant Mountain,"Youngbloods, The",1988-01-01,France,"['Darkness, Darkness', 'Smug', 'On Sir Francis Drake', 'Sunlight', 'Double Sunlight', 'Beautiful', 'Turn It Over', ""Rain Song (Don't Let the Rain Bring You Down)"", 'Trillium', 'Quicksand', 'Black Mountain Breakdown', 'Sham', 'Ride the Wind']",
mbrainz_8206,The World of Spirit Plants,Ital,2009-06-19,United Kingdom of Great Britain and Northern Ireland,"['Jungle Law', 'Indian Force', 'Essence', 'Back Home', 'New Idea', 'Organica', 'Strong Rain', 'Hyper Freq', 'The World of Spirit Plants', 'Next Level']",
mbrainz_8209,The Dame Edna Party Experience,"Everage, Dame Edna",1988-01-01,,"[""Bad / When Will I Be Famous / Layla (Alias Edna) / I Should Be So Lucky / The Locomotion / Bad 'Nice' (reprise)"", 'Waltzing Matilda (instrumental intro) / The Twist', 'Venus / Like a Virgin / Girls Just Want to Have Fun / Venus (reprise)', 'Shout, Part I', 'Shout, Part II', 'I Got You Babe (Who Needs You Babe)', 'I Wanna Dance With Somebody (Who Loves Me) / Stop! In the Name of Love / Dancing in the Street / I Wanna Dance With Somebody (Who Loves Me) (reprise)', 'Neighbours', ""Leader of the Pack / It's My Party""]",
mbrainz_8220,Broken Dreams,Souless Affection,2008-01-01,United States of America,"['Intro', 'Broken Dreams', 'Lunacy', 'Disease', 'Never Again', 'Fortune', 'Soul Collector', 'Release My Soul', 'Sanction']",
mbrainz_8222,If You Leave It Alone,"Wave Pictures, The",2009-05-04,United Kingdom of Great Britain and Northern Ireland,"['If You Leave It Alone', 'Canary Wharf', 'My Kiss', 'I Thought of You Again', 'Tiny Craters in the Sand', 'Bumble Bee', 'Come on Daniel', 'Too Many Questions', 'Bye Bye Bubble Belly', 'Softly You, Softly Me', 'Strawberry Cables', 'Nothing Can Change This Love']",
mbrainz_8227,Broken World,Engine-V,2005-03,Greece,"['Budgie', 'Fading Away', 'Broken World', 'No More', ""Don't Cry for Me"", 'Bleed', 'Ride on Me', 'Guilty Anyway', 'Riding Alone', 'Truth', 'Budgie (studio jam mix)', 'Theme #14']",
mbrainz_8230,Friends United Refugees,Friends United Refugees,1998-01-01,,"['Intro', 'Slowly Down, Freak Me Up', 'The Reason', 'Light Of Hope', 'Best Of Love', 'Could That Be Real', 'All Day, All Night', ""One Nation '98"", 'Forever Love', 'Dangerous Life', ""Why Don't You Love Me"", 'Love Me Touch Me', 'Saedni', 'Running For The Future']",
mbrainz_8237,California Rite Now,Fatboy Slim,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Rockafeller Skank (vinyl edit)', 'Punk to Funk', '303', 'Apache', 'Peanut Butter and Jelly (Beastie Boys mix)', 'Everybody Loves a Filter', 'First Down', 'Going Out of My Head', 'Renegate Master (Fragment)', 'Sound of Milwaukee', 'Disco Sit Down', 'Praise You', 'Sho Nuff', 'The Rockfeller Skank (Mulders Urban Takeover remix)']",
mbrainz_8253,Symbiosis of Contradictions (orig.),IP Neva,2008-12,Greece,"['Correction', 'U-Boat Performance', 'The Process', 'Constallation of War', 'Full Moon', 'Radiation Field', 'Whether in Numbers', 'Meteoric Rain', 'Calm After the Storm', 'U-Boat Performance (Mobthrow remix)', 'Correction - Failed (Abstractive Noise remix)']",
mbrainz_8254,Skeletal Lamping Bonus CD,of Montreal,2008-01-01,,"['Gallery Piece (Mintel Rose remix)', 'Id Engager (Mad Decent remix)', 'Jimmy', 'Back to School', 'Feminine Effects (live)']",
mbrainz_8259,Missing You / A Musical Discovery Of India,"Shankar, Ananda",,,"['Missing You', 'Lonely', 'Dreams Forever', 'I Remember', 'Togetherness', 'Baba', 'Almora', 'Namaskar', 'The Hill Train', 'Kaziranga Beat', ""Akbar's Jewels"", 'Brindavan Revel', 'Dawn at Varanasi', 'Discovery Of India']",
mbrainz_8260,Torches of Liberty,"Three Johns, The",1988-01-01,United Kingdom of Great Britain and Northern Ireland,"['Torches of Liberty', 'Big Whale (Never Live)']",
mbrainz_8270,Crack the Skye,Mastodon,2009-01-01,United States of America,"['Oblivion', 'Divinations', 'Quintessence', 'The Czar: I. Usurper / II. Escape / III. Martyr / IV. Spiral', 'Ghost of Karelia', 'Crack the Skye', 'The Last Baron', 'Oblivion (instrumental)', 'Divinations (instrumental)', 'Quintessence (instrumental)', 'The Czar: I. Usurper / II. Escape / III. Martyr / IV. Spiral (instrumental)', 'Ghost of Karelia (instrumental)', 'Crack the Skye (instrumental)', 'The Last Baron (instrumental)']",50.8 minutes
mbrainz_8275,The Gemini EP,"Jonson, Mathew",,,"['Gemini', 'The Navigator & The Gateway']",
mbrainz_8276,Blue Pyramid / Purple Om,Dimension 5,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Blue Pyramid', 'Purple Om']",
mbrainz_8278,Dark Spirits Landscape,Subotika,2009-04,United States of America,"['Dark Spirits', 'Landscape']",
mbrainz_8285,Blackbird's Echo,Niobe,2009-01-01,Germany,"['Silicone Soul', 'You Have A Gift', 'Time Is Kindling', 'Cadillac Night', ""Blackbird's Echo"", 'Lovely Day', 'A Shark', 'Fever', 'Gnomes And Pixies', 'My Conversion', 'Ava Gardner At The Swimming Pool', 'Blue Wolf']",
mbrainz_8287,The Good Life,Fire Town,1989-01-01,United States of America,"['The Good Life', 'Miles Away', 'Turn To Me', 'She Reminds Me Of You', 'Reindeer Moon', 'Where The Shadows Fall', 'Under Your Spell', 'I Could Be The One', ""I Don't Want To Lose You"", 'Sounds Like Thunder']",
mbrainz_8289,Dismantling Devotion,Daylight Dies,2006-03-13,United Kingdom of Great Britain and Northern Ireland,"['A Life Less Lived', 'Dead Air', 'A Dream Resigned', 'All We Had', 'Solitary Refinement', 'Strive to See', 'Lies That Bind', 'Dismantling Devotion']",
mbrainz_8305,Old Ways to Nowhere,Zelienople,2009-04-27,United States of America,"['Laundry', 'Boat People', ""I'm Turning Bad"", 'The Light No One Knows', ""I've Been Both Sides"", 'Pretty Baby']",
mbrainz_8309,Los Angeles / Illegal,Gridlok,2009-05-19,United Kingdom of Great Britain and Northern Ireland,"['Los Angeles', 'Illegal']",
mbrainz_8310,Acid Millennium,"Want, The",1997-01-01,United States of America,"['Supertoker', 'Pass It On', 'Star 69', 'Automatic', 'Yeah-Yeah', 'Silverchord', '4 Pictures', 'Goodbye', 'Aqua-Pura', 'Other Side of the Sun']",
mbrainz_8315,Black Cherry,Organic Grooves,2002-01-01,United States of America,"['Gold Weave', 'All Be(tween)', '... Will Be Unbroken', 'Satta Pox', 'Chronos Splinter', 'Light Within Light', 'Tundra Roll', 'Know now Go']",
mbrainz_8320,MTV Unplugged in New York,Nirvana,2009-01-01,United States of America,"['About a Girl', 'Come as You Are', 'Jesus Doesnâ€™t Want Me for a Sunbeam', 'The Man Who Sold the World', 'Pennyroyal Tea', 'Dumb', 'Polly', 'On a Plain', 'Something in the Way', 'Plateau', 'Oh Me', 'Lake of Fire', 'All Apologies', 'Where Did You Sleep Last Night?']",
mbrainz_8322,Damnation of Regiomontum,Tvangeste,2000-01-01,Norway,"['From Nameless Oracle', ""Angel's Retreat"", 'Damnation of Regiomontum', 'Thinking', 'Born to Be King of Innerself', 'Outro']",
mbrainz_8326,Stripped,Astro Lanes,1991-09-13,Finland,"['Out of the Black', 'Hearts Break', 'Body in Motion', 'Enough Reason', 'Finish What You Started', 'Stripped', '1 Track Mind', 'Sensation', 'One in a Million', 'Slave for Your Love']",
mbrainz_8334,The Juggeling Alchemists Under the Black Light (album),Etnica,1995-01-01,Germany,"[""The Gili's Voyage"", ""Vicky's Dream"", ""The Gili's Voyage (Ketu remix)"", 'Infinitive Dream', 'Moon Influence', 'Spheric Koncept']",0.0 minutes
mbrainz_8335,Shape the Future / Desert Sun,MFG,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Shape the Future', 'Desert Sun']",
mbrainz_8338,Move Along,"Allâ€?American Rejects, The",2006-01-01,United Kingdom of Great Britain and Northern Ireland,"['Move Along', 'Kiss Yourself Goodbye', 'Eyelash Wishes']",
mbrainz_8339,The Recovery E.P.,"Goodnight, Sleep Well",2009-05-13,,"['""It Is Done."" People Did Not Like It Here', 'Desmond Hume Has Come Unstuck in Time', 'Saros', ""We're Phantoms in Fifteen"", 'Cover Me in Resolve']",
mbrainz_8345,Galaxy of Nowhere,Mondkopf,2009-05-25,France,"['Intro', 'Bain du matin', 'La Dame en bleu', 'Libera Me', 'Scream of Stars', 'Les Voyageurs', 'Speaking With the Noise', 'Music for My Room', ""Valse dans l'ombre"", 'Lambs Are Dancing', 'PlanÃ¨tes', 'Ave Maria', 'Outro']",
mbrainz_8346,New York Alcoholic Anxiety Attack,New York Alcoholic Anxiety Attack,,,"['Guns & God', 'Sunriders', 'Rainbows & Rust', 'Breathe', 'Sacrifice Love', 'In The Light']",
mbrainz_8350,Bubonic Burial Rites,Gnaw Their Tongues,2007-11-26,,"['Bubonic Burial Rites', 'Vademecum Mutilus', 'Tarred Coffins']",
mbrainz_8359,The Singles: 1981-1983,13th Chime,2009-01-01,United States of America,"['Cuts of Love', 'Coffin Maker', 'Cursed', 'Dug Up', 'Tinker Man', 'Fire', 'Hide and Seek', 'Sally Ditch', '13th Victim', 'Radio Man (demo)']",
mbrainz_8365,Surrender,"Butler, Jonathan",2002-01-01,United States of America,"['This Is Love', 'Pata Pata', 'Surrender', 'Take Me Back', 'Wake Up', 'Thoughts of You', 'Back to Love', 'River of Life', 'Many Faces', 'African Moon']",
mbrainz_8367,Part Monster (release),Piano Magic,2007-05-14,Italy,"['The Last Engineer', ""England's Always Better (As You're Pulling Away)"", 'Incurable (reprise)', 'Soldier Song', 'The King Cannot Be Found', 'Great Escapes', 'Cities & Factories', 'Halfway Through', 'Saints Preserve Us', 'Part-Monster']",
mbrainz_8368,Phobia (orig.),"Kinks, The",1993-04-13,United States of America,"['Opening', 'Wall of Fire', 'Drift Away', 'Still Searching', 'Phobia', 'Only a Dream', ""Don't"", 'Babies', 'Over the Edge', 'Surviving', ""It's Alright (Don't Think About It)"", 'The Informer', 'Hatred (A Duet)', 'Somebody Stole My Car', 'Close to the Wire', 'Scattered']",
mbrainz_8371,Dots and Loops,Stereolab,1997-09-23,United States of America,"['Brakhage', 'Miss Modular', 'The Flower Called Nowhere', 'Diagonals', 'Prisoner of Mars', 'Rainbo Conversation', 'Refractions in the Plastic Pulse', 'Parsec', 'Ticker-Tape of the Unconscious', 'Contronatura']",
mbrainz_8376,Beyond the Reef,"Merrill, Buddy",,,"['Sea Breeze (Puamana)', 'Akaka Falls', 'Pearly Shells (Pupu O Ewa)', 'The Happy Hula', ""I'll Remember You"", 'Pagan Love Song', 'Moon of Manakoora', 'Hawaiian Sands', 'Beyond the Reef', 'Hawaiian Wedding Song', 'In Hawaiian Style', 'Lahaina Luna', 'Hawaii Smiles', 'Hawaiian War Chant', 'Love Song of Kalua', 'Aloha Oe']",
mbrainz_8380,Sleepwalking Daydreaming,Carouge,2004-01-01,United States of America,"['Papillon', 'Darling', 'Skin', 'Sleepwalking', 'Just Try!', 'Framboise', 'Moonlight', 'How Could I Know', 'Keep On', 'Do Me', 'Dream', 'In Your Arms']",
mbrainz_8384,The Outside Within,"Freeman, Chico (and others)",1992-01-01,United States of America,"['The Search', 'Undercurrent', 'Luna', 'Ascent']",
mbrainz_8387,The Greatest,"Carlisle, Belinda",1998-03-28,Japan,"[""It's Too Real (Big Scary Animal)"", 'Heaven Is a Place on Earth', 'California', 'Circle in the Sand', 'Leave a Light On', 'I Feel the Magic', 'Summer Rain', 'Vision of You', 'Live Your Life Be Free', 'I Get Weak', 'In Too Dep', 'Mad About You', 'Runaway Horses', 'Do You Feel Like I Feel?', 'Submisson']",
mbrainz_8393,Evacuate the Dancefloor,Cascada,2009-07-21,United States of America,"['Evacuate the Dancefloor (radio edit)', 'Evacuate the Dancefloor (Wideboys edit)', 'Evacuate the Dancefloor (Cahill edit)', 'Evacuate the Dancefloor (Chriss Ortega Bigroom edit)', 'Evacuate the Dancefloor (extended mix)', 'Evacuate the Dancefloor (Wideboys remix)', 'Evacuate the Dancefloor (Cahill remix)', 'Evacuate the Dancefloor (Chriss Ortega Bigroom remix)', 'Evacuate the Dancefloor (Frisco remix)', 'Evacuate the Dancefloor (Wideboys dub)']",
mbrainz_8395,El nervio del volcÃ¡n,Caifanes,1994-06-28,United States of America,"['Afuera', 'Miedo', 'AquÃ\xad no es asÃ\xad', 'Ayer me dijo un ave', 'Hasta que dejes de respirar', 'AviÃ©ntame', 'El animal', 'Quisiera ser alcohol', 'Pero nunca me caÃ\xad', 'El aÃ±o del dragÃ³n', 'La Llorona']",
mbrainz_8399,MTV Unplugged in New York,Sportfreunde Stiller (and others),2009-05-22,Germany,"['Alles Roger!', 'UngewÃ¶hnlich', 'Hallo Du', 'Der Titel vom nÃ¤chsten Kapitel', 'Heimatlied', 'Ein kleiner Schritt', 'Â¡Vamos!', 'â€™54, â€™74, â€™90, 2010', 'Mag Tischtennis!', 'Ein Kompliment', 'Fast wie von selbst', 'Fahrt ins GrÃ¼ne', 'Wellenreiten â€™54', '1. Wahl', 'Auf der guten Seite', 'Lass mich nie mehr los', 'FrÃ¼hling', 'Wie lange sollen wir noch warten?', 'Wunderbaren Jahren', '(Tu nur das) was dein Herz dir sagt', 'Supersonnig', 'Rockâ€™nâ€™Roll Queen', '7 Tage, 7 NÃ¤chte', 'Ich war noch niemals in New York', 'Siehst du das genauso?', 'Ich, Roque']",45.85 minutes
mbrainz_8408,I Surrender,Discotronic,2009-06-05,,"['I Surrender (Club Mix)', 'I Surrender (Brooklyn Bounce vs. Sample Rippers Remix)', 'I Surrender (Max K. Remix)', 'I Surrender (RainDropz! Remix)', 'I Surrender (Keamon Remix)', 'I Surrender (Single Edit)', 'I Surrender (Brooklyn Bounce vs. Sample Rippers Remix Edit)', 'I Surrender (Max K. Remix Edit)', 'I Surrender (RainDropz! Remix Edit)', 'I Surrender (Keamon Remix Edit)']",
mbrainz_8417,United Groove,L-Vis 1990,2009-06-30,United States of America,"['United Groove', 'Come Together']",
mbrainz_8419,The Contaminated Void,Coldworker,2006-11-09,,"['The Interloper', 'D.E.A.D.', 'An Unforgiving Season', 'The Contaminated Void', 'Death Smiles at Me', 'A Custom-Made Hell', 'Return to Ashes', 'Strain at the Leash', 'Flammable', 'Antidote', 'They Crawl Inside Me Uninvited', 'Waiting for Buildings to Collapse', 'Heart Shaped Violence', 'Generations Decay']",
mbrainz_8422,Bloody Kisses,Type O Negative,1993-01-01,Netherlands,"['Machine Screw', 'Christian Woman', 'Black No. 1 (Little Miss Scare-All)', 'Fay Wray Come Out and Play', 'Kill All the White People', 'Summer Breeze', 'Set Me On Fire', 'Dark Side of the Womb', 'We Hate Everyone', 'Bloody Kisses (A Death in the Family)', '3.0.I.F.', 'Too Late: Frozen', 'Blood & Fire', 'Canâ€™t Lose You']",
mbrainz_8423,Bloodletting (The Vampire Song),Concrete Blonde,1991-01-01,,"['Bloodletting (The Vampire Song) (English short version)', 'Bloodletting (The Vampire Song) (English album version)', 'Bloodletting (The Vampire Song) (French version)', 'Bloodletting (The Vampire Song) (German version)']",
mbrainz_8426,One By One,"Impressions, The",1965-01-01,United States of America,"['Twilight Time', 'I Wanna Be Around', 'Nature Boy', 'Just One Kiss From You', 'I Want to Be With You', 'Answer Me, My Love', ""It's Not Unusual"", 'Without a Song', 'Falling in Love With You', 'My Prayer', 'Mona Lisa', 'Lonely Man']",
mbrainz_8427,Spiritual Celebration,Dreamcolour,2009-05-20,United States of America,"['Spiritual Celebration', 'Sun Ritual', 'Moon Ritual']",
mbrainz_8432,Mind the Drift (orig.),Big Business,2009-03-31,United States of America,"['Found Art', 'Gold and Final', 'Cats, Mice', 'I Got It Online', 'The Drift', 'Ayes Have It', 'Cold Lunch', 'Theme From Big Business II']",
mbrainz_8441,Space Beyond the Egg,"Emperor Machine, The",2009-06-01,United Kingdom of Great Britain and Northern Ireland,"['The Frontist', 'Kananana', 'Lana Laila', 'Silver Cape', 'Hairy Knuckle', 'You Clapper', 'Space Age Pop', 'Wet Seven', 'Dave Gent', ""What's in the Box?"", 'Snatch Shot', 'What You Want', 'Not None']",
mbrainz_8451,Sounds of the Mothership,"Parsons, David",1980-01-01,United States of America,"['Meditation on a Lonely Pool', 'Devaloka', 'Awakening', 'Separation', 'Tree Spirits', 'Durga', 'Spheres']",
mbrainz_8453,Spirit of Man,Mr. 76ix,2009-06,United Kingdom of Great Britain and Northern Ireland,"['1ne', '2wo', '3hree', '4our', '5ive', '6ix', '7even', 'Shapeshifter Graviton Mix']",
mbrainz_8468,Broadcasting on Ghost Frequencies,Erstlaub,2009-06-15,Netherlands,Broadcasting on Ghost Frequencies,
mbrainz_8476,Colors EP,Plasmik,2009-01-01,Germany,"['Night Bell', 'Sneaky Dee', 'Red Tension']",
mbrainz_8495,Across the Concrete Sky,Air Supply,2003-07-07,United States of America,"['Shadow Of The Sun', 'Big Cat', 'Love Is The Arrow', 'We Are All Children', 'A Place Where We Belong', 'Feel Like Screaming', ""I'll Find You"", 'Come To Me', 'I Want You', 'You Belong To Me', 'Goodnight']",
mbrainz_8496,The Slow Decay of Infested Flesh,Guttural Engorgement,2007-01,United States of America,"['The Process Begins (intro)', 'The Slow Decay of Infested Flesh', 'Job for a Hammer', 'Bile Defilement', 'Steak Knife Face Fuck', 'Cadaveric Maggot Copulation', 'Omnipresent Ecchymosis', 'Cinder Block Facial Reconstruction', 'Molested Dissection', 'Chopsaw Sodomy', 'Gangrenous Torso Fermentation', 'Beyond Recognition (interlude)', 'Wretched Sacrament']",
