wiki_ref,title,launch_yr,studio,system,franchise
dbpedia_35203,Pocky & Rocky 2,1994-01-01,Natsume (company),,Pocky & Rocky
dbpedia_35206,Romance of the Three Kingdoms XIV,2020-01-01,Koei Tecmo,Microsoft Windows,Romance of the Three Kingdoms (video game series)
dbpedia_35207,Michael Jackson: The Experience,2010-01-01,Ubisoft Sao Paulo,Mac OS X,
dbpedia_35208,Ratchet & Clank Collection,2012-01-01,Insomniac Games,PlayStation Vita,Ratchet & Clank
dbpedia_35209,Reel Fishing,1996-01-01,Natsume (company),WiiWare,
dbpedia_35210,Triggerheart Exelica,2009-01-01,Warashi,Arcade game,
dbpedia_35211,Pu·Li·Ru·La,1997-01-01,Taito,PS2,
dbpedia_35213,Metal Max 2,1993-01-01,Data East,DS,Metal Max (series)
dbpedia_35215,Bejeweled 2,2006-01-01,PopCap Games,Personal digital assistant,Bejeweled (series)
dbpedia_35216,Dance Central 3,2012-01-01,Backbone Entertainment,Xbox 360,Dance Central
dbpedia_35217,X-Men: The Official Game,2006-01-01,WayForward,GameCube,
dbpedia_35218,Fast & Furious 6 (video game),,Kabam,Android (operating system),Fast & Furious
dbpedia_35219,Mortal Kombat II,1994-01-01,Digital Eclipse,Game Boy,Mortal Kombat
dbpedia_35220,Bomberman '93,2002-01-01,Hudson Soft,Wii Virtual Console,Bomberman
dbpedia_35222,Dead or Alive Xtreme Beach Volleyball,2003-01-01,Team Ninja,Xbox,Dead or Alive (franchise)
dbpedia_35223,Barnyard (video game),2006-01-01,Wii,Game Boy Advance,
dbpedia_35224,The Beast Within: A Gabriel Knight Mystery,,Sierra Entertainment,Macintosh,Gabriel Knight
dbpedia_35225,Xena: Warrior Princess (video game),2001-01-01,Universal Interactive Studios,Game Boy Color,
dbpedia_35226,WWF WrestleMania: The Arcade Game,1995-01-01,Midway Games,,List of WWE video games
dbpedia_35227,Lemmings (video game),1991-01-01,Psygnosis,Atari ST,
dbpedia_35228,Soma (video game),2017-01-01,Frictional Games,PS4,
dbpedia_35229,Road Blaster,1992-01-01,Telenet Japan,Playstation,
dbpedia_35230,Stronghold Kingdoms,2012-01-01,Firefly Studios,Android (operating system),
dbpedia_35232,Guilty Gear Xrd,2016-01-01,Arc System Works,PS4,Guilty Gear
dbpedia_35233,Final Fantasy II,2001-01-01,Square (video game company),Microsoft Windows,Final Fantasy
dbpedia_35234,Call of Duty: Strike Team,2013-01-01,,IOS,Call of Duty
dbpedia_35236,Michael Jackson: The Experience,2012-01-01,Ubisoft Montpellier,IPad,
dbpedia_35237,Mighty No. 9,2016-01-01,Level-5 Comcept,PS4,
dbpedia_35238,Time Gal,1992-01-01,Toei Company,Android (operating system),
dbpedia_35240,Destruction Derby Arenas,2004-01-01,Studio 33,PS2,
dbpedia_35243,The Legend of Spyro: A New Beginning,2006-01-01,Amaze Entertainment,PS2,Spyro
dbpedia_35244,Darksiders III,2018-01-01,Gunfire Games,Xbox One,Darksiders
dbpedia_35245,Imadoki no Vampire: Bloody Bride,1996-01-01,Jorudan,Playstation,
dbpedia_35248,Pocket Legends,2010-01-01,Spacetime Studios,IOS (Apple),
dbpedia_35250,Ys VIII: Lacrimosa of Dana,2016-01-01,Nihon Falcom,IOS,Ys (series)
dbpedia_35251,Dragons of Flame (video game),,Atelier Double,Commodore 64,Dragonlance
dbpedia_35253,Marvel: Ultimate Alliance 2,2009-01-01,Savage Entertainment,PS2,
dbpedia_35254,FIFA 17,2016-01-01,EA Vancouver,Xbox One,FIFA (video game series)
dbpedia_35259,V for Victory: D-Day Utah Beach,,Atomic Games,MS-DOS,V for Victory
dbpedia_35260,The Fancy Pants Adventures,2011-01-01,Brad Borne,IOS,
dbpedia_35261,Gradius Deluxe Pack,1996-01-01,Konami,Sega Saturn,Gradius
dbpedia_35262,Mortal Kombat: Armageddon,2007-01-01,Midway Games,Wii,Mortal Kombat
dbpedia_35263,Madden NFL '94,1993-01-01,Visual Concepts,Super Nintendo,Madden NFL
dbpedia_35264,Etherlords,2001-01-01,Nival (company),Android (operating system),
dbpedia_35266,Crazyracing Kartrider,2004-01-01,Nexon,PS4,
dbpedia_35268,MotoGP: Ultimate Racing Technology,2003-01-01,THQ,Xbox,
dbpedia_35269,Uno (video game),2010-01-01,PS4,IPhone OS,Uno (card game)
dbpedia_35270,Uno (video game),2016-01-01,Nintendo Switch,IPod game,Uno (card game)
dbpedia_35271,Zelda II: The Adventure of Link,1987-01-01,Nintendo Entertainment Analysis & Development,GameCube,The Legend of Zelda
dbpedia_35272,List of Monster Jam video games,2019-01-01,Team6 Game Studios,Xbox 360,Monster Jam
dbpedia_35274,Trizeal,2006-01-01,Triangle Service,I-mode,
dbpedia_35275,Lego Star Wars: The Complete Saga,2010-01-01,TT Fusion,Android (operating system),Lego Star Wars (video game series)
dbpedia_35276,Resident Evil: Dead Aim,2003-01-01,Cavia (company),PS2,Resident Evil
dbpedia_35277,Sid Meier's Pirates! (2004 video game),2005-01-01,Firaxis Games,Mac OS X,
dbpedia_35278,TowerMadness 2,2014-01-01,Limbic Software,Android (operating system),
dbpedia_35279,List of Monster Jam video games,2008-01-01,Inland Productions,Xbox 360,Monster Jam
dbpedia_35280,Panzer Dragoon (video game),2020-01-01,Sega,Xbox,Panzer Dragoon
dbpedia_35281,Shantae: Half-Genie Hero,2016-01-01,WayForward,PS4,Shantae
dbpedia_35282,Magic Sword (video game),1990-01-01,Capcom,Xbox Live Arcade,
dbpedia_35283,Final Fantasy VII Remake,2020-01-01,Square Enix,PS4,Final Fantasy
dbpedia_35285,Shadow of Memories,2009-01-01,Konami Computer Entertainment Tokyo,PS2,
dbpedia_35287,Dance Dance Revolution SuperNova,2006-01-01,Konami Digital Entertainment,PS2,Bemani
dbpedia_35288,Dynasty Warriors 7,2011-01-01,Omega Force,PlayStation Portable,Dynasty Warriors
dbpedia_35289,Robot Wars: Extreme Destruction,2002-01-01,Warthog Games,Xbox,
dbpedia_35291,1001 Spikes,2014-01-01,Nicalis,Wii U,
dbpedia_35292,Brunswick Pro Bowling,2016-01-01,PlayStation 2,PS3,
dbpedia_35296,Crusader Kings II: Sons of Abraham,2013-01-01,Paradox Development Studio,,Crusader Kings II
dbpedia_35297,Art of Fighting,1994-01-01,Alfa System,Arcade video game,
dbpedia_35298,Eiyuden Chronicle: Rising,2022-01-01,Natsume (company),PlayStation 5,
dbpedia_35299,List of Monster Jam video games,2007-01-01,Torus Games,Wii,Monster Jam
dbpedia_35300,Groove Coaster,2018-01-01,Matrix Software,Android (operating system),
dbpedia_35301,Diner Dash 2: Restaurant Rescue,2006-01-01,PlayFirst,Mac OS X,Diner Dash
dbpedia_35302,Pro Evolution Soccer 6,2006-01-01,Konami,PS2,Pro Evolution Soccer
dbpedia_35304,Test Drive: Off-Road 3,1999-01-01,Game Boy Color,Game Boy Color,Test Drive (series)
dbpedia_35308,JoJo's Bizarre Adventure (video game),1999-01-01,CyberConnect2,PS3,
dbpedia_35310,Wytchwood,2021-01-01,Alientrap,Microsoft Windows,
dbpedia_35311,Clannad (video game),2011-01-01,Key (company),PS4,
dbpedia_35312,Sparkster,1994-01-01,Konami,Super Nintendo,
dbpedia_35313,Fallout Shelter,2017-01-01,,Switch,Fallout (series)
dbpedia_35314,The Sims FreePlay,2013-01-01,EA Mobile,BlackBerry 10,The Sims
dbpedia_35318,Virtual Open Tennis,1995-01-01,Arc System Works,Sega Saturn,
dbpedia_35319,Need for Speed: Undercover,2008-01-01,Firebrand Games,PS3,Need for Speed
dbpedia_35320,Arcana Heart 3,2013-01-01,Team Arcana,PS3,Arcana Heart
dbpedia_35321,Call of Juarez (video game),2006-01-01,Techland,Xbox 360,Call of Juarez
dbpedia_35322,Driven (video game),2002-01-01,Crawfish Interactive,GameCube,
dbpedia_35325,Shiren the Wanderer (2008 video game),2008-01-01,Chunsoft,Wii,Mystery Dungeon
dbpedia_35326,Urban Chaos,1999-01-01,Mucky Foot Productions,Dreamcast,
dbpedia_35327,Air (video game),2002-01-01,Key (company),Dreamcast,
dbpedia_35328,Tom Clancy's Rainbow Six 3: Raven Shield,2004-01-01,Ubi Soft Milan,PS2,Tom Clancy's Rainbow Six
dbpedia_35329,Hotline Miami,2012-01-01,Dennaton Games,Google Stadia,
dbpedia_35330,Cobra Command (1984 video game),1992-01-01,Data East,Sega Mega-CD,
dbpedia_35331,Renegade (video game),,Technōs Japan,PS2,Kunio-kun
dbpedia_35332,Phoenix Wright: Ace Attorney – Justice for All,2002-01-01,Capcom Production Studio 4,PS4,Ace Attorney
dbpedia_35336,Fatal Fury: King of Fighters,1991-01-01,M2 (game developer),Mega Drive/Genesis,Fatal Fury
dbpedia_35337,Dragon Warrior Monsters,1998-01-01,Tose (company),IOS,Dragon Quest Monsters
dbpedia_35338,Another World (video game),2014-01-01,Delphine Software International,PlayStation Vita,
dbpedia_35339,International Superstar Soccer 2000,1999-01-01,Konami Computer Entertainment Osaka,Game Boy Color,International Superstar Soccer
dbpedia_35340,Mushihimesama,2004-01-01,Cave (company),Switch,
dbpedia_35342,Neo Drift Out: New Technology,1996-01-01,Visco Corporation,Arcade game,
dbpedia_35344,Uno (video game),2016-01-01,Nintendo Switch,PlayStation Portable,Uno (card game)
dbpedia_35345,Spider-Man 2 (2004 video game),2004-01-01,The Fizz Factor,Microsoft Windows,
dbpedia_35346,Guilty Gear X2 updated versions,2009-01-01,Arc System Works,PlayStation Portable,Guilty Gear
dbpedia_35347,List of Fire Pro Wrestling games,2013-01-01,Human Entertainment,PS2,Fire Pro Wrestling
dbpedia_35348,Swing Away Golf,2000-01-01,T&E Soft,PS2,
dbpedia_35349,Eternal Sonata,2007-01-01,Tri-Crescendo,Xbox 360,
dbpedia_35350,Race Drivin',1990-01-01,Argonaut Software,Playstation,
dbpedia_35351,Master of Orion: Conquer the Stars,2016-01-01,NGD Studios,Linux,
dbpedia_35352,Fluidity: Spin Cycle,2012-01-01,Curve Studios,3DS,
dbpedia_35354,Rez (video game),2016-01-01,United Game Artists,Dreamcast,
dbpedia_35355,Risk (video game),1996-01-01,Sculptured Software,Apple II,
dbpedia_35356,Final Fantasy II,1988-01-01,Square (video game company),Microsoft Windows,Final Fantasy
dbpedia_35357,Donkey Kong (video game),2002-01-01,Nintendo Research & Development 1,TI-99/4A,Donkey Kong
dbpedia_35360,Panzer Dragoon (video game),1996-01-01,Team Andromeda,Xbox One,Panzer Dragoon
dbpedia_35363,Baldur's Gate: Siege of Dragonspear,2019-01-01,Beamdog,OS X,Baldur's Gate (series)
dbpedia_35364,XII Stag,2013-01-01,Triangle Service,Windows Mobile,
dbpedia_35366,The Lost Vikings,2021-01-01,Blizzard Entertainment,MS-DOS,
dbpedia_35367,Serious Sam 3: BFE,2011-01-01,Croteam,Linux,Serious Sam
dbpedia_35368,Micro Machines (video game),2003-01-01,Eutechnyx,SNintendo Entertainment System,Micro Machines (video game series)
dbpedia_35369,R-Type,1987-01-01,Irem,Wii U Virtual Console,List of R-Type video games
dbpedia_35370,Addiction Pinball,1999-01-01,Team17,Playstation,
dbpedia_35371,Nethergate,2007-01-01,Spiderweb Software,Microsoft Windows,
dbpedia_35373,Panzer Dragoon (video game),2020-01-01,Sega,Microsoft Windows,Panzer Dragoon
dbpedia_35374,Angry Birds (video game),2010-01-01,Rovio Entertainment,Amazon Fire,Angry Birds
dbpedia_35375,Boogie Bunnies,2008-01-01,Artech Studios,Microsoft Windows,
dbpedia_35376,Frozen Synapse,2011-01-01,Mode 7 Games,Microsoft Windows,
dbpedia_35378,Bladestorm: The Hundred Years' War,2007-01-01,Omega Force,Microsoft Windows,Dynasty Warriors
dbpedia_35380,Dragon Knight 4,2007-01-01,NEC Avenue,MS-DOS,Dragon Knight (hentai)
dbpedia_35381,The Legend of Spyro: Dawn of the Dragon,2008-01-01,Étranges Libellules,Xbox 360,Spyro
dbpedia_35382,Galaga Legions DX,2011-01-01,Namco Bandai Games,Xbox One,List of Galaxian video games
dbpedia_35384,Alone in the Dark 2 (video game),1996-01-01,Infogrames Multimedia,FM Towns,Alone in the Dark
dbpedia_35386,"Warhammer 40,000: Space Wolf",2015-01-01,HeroCraft,PS4,"Warhammer 40,000"
dbpedia_35389,Chivalry: Medieval Warfare,2012-01-01,Torn Banner Studios,Linux,
dbpedia_35390,Ministry of War (game),2010-01-01,Snail Games,Adobe Flash,
dbpedia_35392,Cho Aniki,1995-01-01,X-Nauts,TurboGrafx-16,
dbpedia_35393,The House of the Dead 2,1998-01-01,Wow Entertainment,Dreamcast,The House of the Dead
dbpedia_35395,Double Dragon (video game),,Software Creations,Game Boy,Double Dragon
dbpedia_35396,Fever Pitch Soccer,1995-01-01,Silicon Dreams Studio,Super Nintendo,
dbpedia_35397,NBA Jam (2010 video game),2013-01-01,EA Canada,Android (operating system),NBA Jam (series)
dbpedia_35398,Unreal Tournament,2001-01-01,Epic Games,PS2,Unreal (video game series)
dbpedia_35400,Another World (video game),2018-01-01,Interplay Entertainment,3DO Interactive Multiplayer,
dbpedia_35401,Asterix & Obelix XXL 2: Mission: Las Vegum,2006-01-01,Tate Interactive,PlayStation Portable,
dbpedia_35402,Portal 2,2011-01-01,Valve Corporation,PS3,Portal (video game series)
dbpedia_35403,Criminal Girls: Invite Only,2010-01-01,Imageepoch,PlayStation Portable,
dbpedia_35404,Who Shot Johnny Rock?,2001-01-01,Origin Systems,3DO Interactive Multiplayer,
dbpedia_35406,Bubsy in Claws Encounters of the Furred Kind,1993-01-01,Accolade (company),Super Nintendo,Bubsy
dbpedia_35407,Hatoful Boyfriend,2014-01-01,Mediatonic,OS X,
dbpedia_35408,Neverwinter Nights (2002 video game),2002-01-01,BioWare,PS4,Neverwinter Nights
dbpedia_35409,Extinction (video game),2018-01-01,Iron Galaxy,Windows,
dbpedia_35410,StarCraft II: Wings of Liberty,2010-01-01,Blizzard Entertainment,MacOS,StarCraft
dbpedia_35411,King Arthur (video game),2004-01-01,Krome Studios,Xbox,
dbpedia_35414,Amerzone,1999-01-01,Microïds,OS X,Syberia
dbpedia_35415,Ghostbusters (2013 video game),2013-01-01,,IOS,List of Ghostbusters video games
dbpedia_35416,Top Gun (1987 video game),,Konami,Nintendo Entertainment System,List of Top Gun video games
dbpedia_35417,Star Trek: ConQuest Online,2000-01-01,,Microsoft Windows,Star Trek
dbpedia_35421,Adventure Time: Finn & Jake Investigations,2015-01-01,Vicious Cycle Software,PS3,Adventure Time
dbpedia_35424,List of Fire Pro Wrestling games,1993-01-01,Spike Chunsoft,PS2,Fire Pro Wrestling
dbpedia_35426,Risk (video game),2010-01-01,Runecraft,BlackBerry,
dbpedia_35427,BlackSite: Area 51,2007-01-01,Midway Austin,Xbox 360,Area 51 (series)
dbpedia_35428,List of Saiyuki video games,2004-01-01,Bandai,Microsoft Windows 2000,
dbpedia_35430,Red Dead Redemption 2,2018-01-01,Rockstar Studios,Google Stadia,Red Dead
dbpedia_35432,Ultima I: The First Age of Darkness,,Richard Garriott,Commodore 64,Ultima (series)
dbpedia_35433,Worms 3,2013-01-01,Team17,Mac OS X,Worms (series)
dbpedia_35434,SpongeBob HeroPants,2015-01-01,Behaviour Santiago,3DS,SpongeBob SquarePants video games
dbpedia_35435,The Urbz: Sims in the City,2004-01-01,Maxis,Game Boy Advance,The Sims
dbpedia_35436,Call of Duty 2,2005-01-01,Infinity Ward,OS X,Call of Duty
dbpedia_35437,What Remains of Edith Finch,2017-01-01,Giant Sparrow,Xbox One,
dbpedia_35438,Caladrius (video game),2017-01-01,MOSS (company),Arcade game,
dbpedia_35440,EA Playground,2007-01-01,EA Canada,DS,
dbpedia_35441,Magic: The Gathering – Duels of the Planeswalkers 2015,2014-01-01,Stainless Games,Android (operating system),
dbpedia_35443,Michael Jackson: The Experience,2010-01-01,PlayStation Portable,Xbox 360,
dbpedia_35445,Daisenryaku,2006-01-01,Genki (company),Super Nintendo,
dbpedia_35446,Dead Nation,2010-01-01,Housemarque,PS4,
dbpedia_35447,Ghostbusters II (computer video game),,Amstrad CPC,Amstrad CPC,List of Ghostbusters video games
dbpedia_35448,Cadash,1991-01-01,Taito,TurboGrafx-16,
dbpedia_35449,Might & Magic: Clash of Heroes,2009-01-01,Tag Games,DS,Might and Magic
dbpedia_35451,Door Door,1985-01-01,Enix,MSX,
dbpedia_35452,Nintendo World Cup,1991-01-01,Technōs Japan,Virtual Console,
dbpedia_35453,Dragon Knight 4,1994-01-01,ELF Corporation,Super Nintendo,Dragon Knight (hentai)
dbpedia_35456,Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness,2008-01-01,Zeboyd Games,OS X,
dbpedia_35457,Sid Meier's Pirates! (2004 video game),2011-01-01,Firaxis Games,Windows Phone,
dbpedia_35458,NHL 97,1996-01-01,Visual Concepts,Playstation,NHL (video game series)
dbpedia_35459,Broken Sword: The Shadow of the Templars,2002-01-01,Revolution Software,Mac OS,Broken Sword
dbpedia_35461,Assassin's Creed IV: Black Flag,2013-01-01,Ubisoft Montreal,Microsoft Windows,Assassin's Creed
dbpedia_35462,Need for Speed: Underground,2003-01-01,Global VR,PS2,Need for Speed
dbpedia_35463,Little King's Story,2009-01-01,Konami Digital Entertainment,PlayStation Vita,
dbpedia_35464,Soulcalibur II,2003-01-01,Soulcalibur,GameCube,Soulcalibur
dbpedia_35465,Super Time Force,2016-01-01,Capybara Games,Xbox One,
dbpedia_35466,Dragon's Lair II: Time Warp,1991-01-01,ReadySoft Incorporated,DSiWare,
dbpedia_35467,Judge Dredd (1995 video game),2018-01-01,Acclaim Cheltenham,Game Boy,
dbpedia_35468,The Sims 2,2005-01-01,Maxis Redwood Shores,Game Boy Advance,The Sims
dbpedia_35469,List of Monster Jam video games,2017-01-01,Virtuos,Game Boy Advance,Monster Jam
dbpedia_35470,MX Unleashed,2004-01-01,Rainbow Studios,Mobile phone,MX (series)
dbpedia_35471,Lode Runner,1983-01-01,Hudson Soft,PS3,
dbpedia_35472,SpellForce 3: Soul Harvest,2019-01-01,Grimlore Games,Microsoft Windows,
dbpedia_35474,RoboCop (1988 video game),1989-01-01,Tandy Corporation,Apple II,List of RoboCop video games
dbpedia_35476,MechWarrior (1993 video game),1993-01-01,Beam Software,Super Nintendo,BattleTech
dbpedia_35478,Major League Baseball 2K8,2008-01-01,Blue Castle Games,PlayStation Portable,
dbpedia_35479,Harry Potter and the Chamber of Secrets (video game),2002-01-01,Griptonite Games,Xbox,Harry Potter video games
dbpedia_35480,List of Monster Jam video games,2014-01-01,Team6 Game Studios,Wii,Monster Jam
dbpedia_35481,Race Drivin',1991-01-01,Imagineering (company),Playstation,
dbpedia_35482,Township (video game),2013-01-01,Playrix,IOS,
dbpedia_35483,Death Rally,2009-01-01,Remedy Entertainment,Microsoft Windows,
dbpedia_35485,Madagascar (video game),2005-01-01,Xbox (console),PS2,Madagascar (franchise)
dbpedia_35486,Super Puzzle Bobble,2004-01-01,Taito,Mobile phone,Puzzle Bobble
dbpedia_35487,Tony Hawk's Pro Skater (video game),2000-01-01,Neversoft,,Tony Hawk's (series)
dbpedia_35490,Sphinx and the Cursed Mummy,2003-01-01,Eurocom,PS2,
dbpedia_35491,Bomber Crew,2017-01-01,Runner Duck,Xbox One,
dbpedia_35492,The Bard's Tale (2004 video game),2011-01-01,InXile Entertainment,Xbox One,The Bard's Tale
dbpedia_35493,Real Madrid Fantasy Manager,2011-01-01,From The Bench,IPhone,
dbpedia_35494,Theme Park (video game),2007-01-01,Krisalis Software,Atari Jaguar,
dbpedia_35495,Mikie,1984-01-01,Konami,SG-1000,
dbpedia_35496,Toki Tori,2012-01-01,Two Tribes (company),Microsoft Windows,
dbpedia_35500,Football Manager 2006,2005-01-01,Sports Interactive,Microsoft Windows,Football Manager
dbpedia_35501,NFL Blitz 2000,1999-01-01,Avalanche Software,Microsoft Windows,NFL Blitz
dbpedia_35502,Planetfall,1984-01-01,Infocom,PC-9800 series,
dbpedia_35503,Hitman: Contracts,2004-01-01,IO Interactive,Microsoft Windows,Hitman (franchise)
dbpedia_35504,TNA Wrestling (video game),2009-01-01,Longtail Studios,Mobile phone,
dbpedia_35505,Puddle (video game),2014-01-01,Neko Entertainment,Wii U,
dbpedia_35507,List of Rock Band track packs,2008-01-01,Harmonix,Xbox 360,Rock Band
dbpedia_35508,World of Warcraft: Dragonflight,2022-01-01,Blizzard Entertainment,Microsoft Windows,World of Warcraft
dbpedia_35510,Donkey Kong 3,2002-01-01,Intelligent Systems,Arcade game,Donkey Kong
dbpedia_35511,Sega Bass Fishing,2011-01-01,Sega,Microsoft Windows,
dbpedia_35515,Ori and the Will of the Wisps,2020-01-01,Moon Studios,Microsoft Windows,
dbpedia_35517,Star Wars: Dark Forces,1996-01-01,LucasArts,Playstation,Star Wars: Jedi Knight
dbpedia_35518,Super Mario Maker 2,2019-01-01,Nintendo EPD,Switch,Super Mario
dbpedia_35519,Shattered Union,2005-01-01,PopTop Software,Microsoft Windows,
dbpedia_35521,Tom Clancy's Rainbow Six: Rogue Spear,2000-01-01,Majesco Entertainment,Dreamcast,Tom Clancy's Rainbow Six
dbpedia_35522,2006 FIFA World Cup (video game),2006-01-01,Exient Entertainment,Microsoft Windows,FIFA World Cup video games
dbpedia_35523,Ghostbusters: The Video Game,2019-01-01,Saber Interactive,Xbox One,Ghostbusters (franchise)
dbpedia_35524,Commandos 2: Men of Courage,2020-01-01,Pyro Studios,Xbox One,Commandos (series)
dbpedia_35525,LibreOffice,2011-01-01,The Document Foundation,X86-64,
dbpedia_35526,Hanjuku Hero,1992-01-01,Neverland (company),WonderSwan Color,
dbpedia_35527,List of Monster Jam video games,2007-01-01,Team6 Game Studios,PS3,Monster Jam
dbpedia_35528,Magical Tree,2015-01-01,Konami,MSX,
dbpedia_35531,After Burner: Climax,2010-01-01,Sega AM2,IOS,
dbpedia_35532,OmniBus (video game),2016-01-01,"Buddy Cops, LLC",OS X,
dbpedia_35534,South Park: The Stick of Truth,2018-01-01,Obsidian Entertainment,Microsoft Windows,
dbpedia_35535,List of Fire Pro Wrestling games,2012-01-01,Spike (company),Dreamcast,Fire Pro Wrestling
dbpedia_35536,Up (video game),2009-01-01,Asobo Studio,IOS,
dbpedia_35539,Death Gate,,Legend Entertainment,MS-DOS,The Death Gate Cycle
dbpedia_35540,Reel Fishing,2000-01-01,Natsume (company),PlayStation Network,
dbpedia_35541,TwinBee,2015-01-01,Konami,X68000,
dbpedia_35542,The Bard's Tale (2004 video game),2012-01-01,InXile Entertainment,PlayBook,The Bard's Tale
dbpedia_35544,Fieldrunners,2011-01-01,Subatomic Studios,Personal computer,
dbpedia_35547,Madden NFL 15,2014-01-01,EA Tiburon,Xbox One,Madden NFL
dbpedia_35549,Super Mario War,,Florian Hufsky,Adobe Flash,Mario (franchise)
dbpedia_35550,Doom (1993 video game),1997-01-01,Id Software,PC-9800 series,Doom (franchise)
dbpedia_35553,Stealth Bastard,2012-01-01,Curve Studios,Microsoft Windows,
dbpedia_35554,BloodRayne 2,2020-01-01,Terminal Reality,PlayStation 5,BloodRayne
dbpedia_35556,Pitfall!,1982-01-01,Activision,Commodore 64,
dbpedia_35557,Super Street Fighter II,1993-01-01,Capcom,Sharp X68000,Street Fighter
dbpedia_35558,Pokémon Battle Revolution,2006-01-01,Genius Sonority,Wii,Pokémon (video game series)
dbpedia_35559,Shock Troopers,1997-01-01,DotEmu,PlayStation Portable,
dbpedia_35560,2010 FIFA World Cup South Africa (video game),2010-01-01,HB Studios,PS3,FIFA World Cup video games
dbpedia_35561,NBA Street Showdown,2005-01-01,,PlayStation Portable,NBA Street (video game series)
dbpedia_35562,Starblade,1995-01-01,Namco,Sega CD,
dbpedia_35564,MissionForce: CyberStorm,1996-01-01,Dynamix,Microsoft Windows,
dbpedia_35565,Wizard and the Princess,,Sierra Entertainment,IBM PC,King's Quest
dbpedia_35567,Final Fantasy Adventure,2006-01-01,Square (video game company),SoftBank Mobile,Mana (series)
dbpedia_35569,Angry Birds (video game),2010-01-01,Rovio Entertainment,Roku,Angry Birds
dbpedia_35570,X-Men: Children of the Atom (video game),1997-01-01,Probe Entertainment,Arcade game,List of X-Men video games
dbpedia_35571,Salt and Sanctuary,2018-01-01,Ska Studios,PlayStation Vita,
dbpedia_35574,Ultimate Spider-Man: Total Mayhem,2011-01-01,Gameloft,Android (operating system),
dbpedia_35577,Ys Strategy,2006-01-01,,DS,Ys (series)
dbpedia_35578,Salt and Sanctuary,2019-01-01,Ska Studios,Xbox One,
dbpedia_35579,Assassin's Creed III,2019-01-01,Ubisoft Montreal,Wii U,Assassin's Creed
dbpedia_35580,Heavy Fire,2012-01-01,Teyon,Wii,
dbpedia_35581,Shadowrun: Hong Kong,2022-01-01,Harebrained Schemes,Xbox Series X and Series S,Shadowrun
dbpedia_35582,F1 2017 (video game),2017-01-01,Codemasters,MacOS,F1 (video game series)
dbpedia_35583,Time Twist: Rekishi no Katasumi de...,1991-01-01,Nintendo EAD,Family Computer Disk System,
dbpedia_35584,Age of Zombies,2013-01-01,Halfbrick Studios,IOS,
dbpedia_35585,NASCAR 07,2006-01-01,Avalanche Software,Xbox,
dbpedia_35588,Close Combat: Battle of the Bulge,1999-01-01,Atomic Games,,Close Combat (series)
dbpedia_35589,Uno (video game),2006-01-01,Nintendo Switch,IPod game,Uno (card game)
dbpedia_35590,Kamen Rider: Battride War,2013-01-01,Bandai Namco Studios,PS4,Kamen Rider Series
dbpedia_35591,Blood Bowl (2009 video game),2010-01-01,Cyanide (company),Xbox 360,Blood Bowl
dbpedia_35593,Trinity (video game),1986-01-01,Infocom,Macintosh,
dbpedia_35595,Fight Night Round 3,2006-01-01,EA Chicago,PS2,Fight Night (video game series)
dbpedia_35598,Rockin' Kats,1991-01-01,Atlus,PlayChoice-10,
dbpedia_35599,Trauma Center: Under the Knife 2,2008-01-01,,DS,Trauma Center (video game series)
dbpedia_35600,San Francisco Rush: Extreme Racing,1996-01-01,Atari Games,PS2,Rush (video game series)
dbpedia_35601,Dungeon Master (video game),1987-01-01,FTL Games,Atari ST,
dbpedia_35606,Where in the World Is Carmen Sandiego? (2011 video game),2011-01-01,Blue Fang Games,Facebook,Carmen Sandiego (game series)
dbpedia_35607,Quake III Arena,2001-01-01,Id Software,Xbox 360,Quake (series)
dbpedia_35609,The Sims FreePlay,2013-01-01,EA Mobile,IOS,The Sims
dbpedia_35610,Chaos on Deponia,2012-01-01,Daedalic Entertainment,Microsoft Windows,
dbpedia_35611,Slender: The Arrival,2013-01-01,Blue Isle Studios,Xbox One,
dbpedia_35612,Razion,2014-01-01,NGDEV,Switch,
dbpedia_35613,KKnD (video game),1997-01-01,Beam Software,Microsoft Windows,
dbpedia_35615,Total Immersion Racing,2002-01-01,Razorworks,Xbox,
dbpedia_35618,2002 FIFA World Cup (video game),2002-01-01,Software Creations (UK),PS2,FIFA World Cup video games
dbpedia_35620,Grand Theft Auto: Liberty City Stories,2005-01-01,Rockstar North,IOS,Grand Theft Auto
dbpedia_35621,Puyo Puyo (video game),2019-01-01,,Mega Drive,Puyo Puyo
dbpedia_35622,Michael Jackson: The Experience,2010-01-01,PlayStation Vita,DS,
dbpedia_35623,Risk (video game),2009-01-01,Sculptured Software,Commodore 64,
dbpedia_35624,Life Is Strange: True Colors,2021-01-01,Deck Nine,Google Stadia,Life Is Strange
dbpedia_35625,Hanjuku Hero,2005-01-01,Square (video game company),DS,
dbpedia_35626,Phoenix Wright: Ace Attorney – Trials and Tribulations,2007-01-01,Capcom Production Studio 4,Windows,Ace Attorney
dbpedia_35627,Machinarium,2020-01-01,Amanita Design,OS X,
dbpedia_35628,Sushi Striker: The Way of Sushido,2018-01-01,Nintendo EPD,3DS,
dbpedia_35630,Mega Mall Story,2011-01-01,Kairosoft,Windows,
dbpedia_35631,Panzer Dragoon (video game),1995-01-01,Team Andromeda,PS2,Panzer Dragoon
